id,material,numberOfWire,crossSection,power
1,copper,single,1.5,22
2,copper,single,2.5,30
3,copper,single,4,39
4,copper,single,6,50
5,copper,single,10,68
6,copper,single,16,89
7,copper,single,25,121
8,copper,single,35,147
9,copper,single,50,179
10,copper,single,70,226
11,copper,single,95,280
12,copper,single,120,326
13,copper,single,150,373
14,copper,single,185,431
15,copper,single,240,512
16,copper,single,300,591
17,copper,single,400,685
18,copper,single,500,792
19,copper,single,625,910
20,copper,single,800,1030
21,copper,single,1000,1143
22,copper,twoOrThree,1.5,21
23,copper,twoOrThree,2.5,27
24,copper,twoOrThree,4,36
25,copper,twoOrThree,6,46
26,copper,twoOrThree,10,63
27,copper,twoOrThree,16,84
28,copper,twoOrThree,25,112
29,copper,twoOrThree,35,137
30,copper,twoOrThree,50,167
31,copper,twoOrThree,70,211
32,copper,twoOrThree,95,261
33,copper,twoOrThree,120,302
34,copper,twoOrThree,150,346
35,copper,twoOrThree,185,397
36,copper,twoOrThree,240,472
37,copper,twoOrThree,300,542
38,copper,twoOrThree,400,633
39,copper,fourOrFive,1.5,20
40,copper,fourOrFive,2.5,25
41,copper,fourOrFive,4,33
42,copper,fourOrFive,6,43
43,copper,fourOrFive,10,59
44,copper,fourOrFive,16,78
45,copper,fourOrFive,25,104
46,copper,fourOrFive,35,127
47,copper,fourOrFive,50,155
48,copper,fourOrFive,70,196
49,copper,fourOrFive,95,243
50,copper,fourOrFive,120,281
51,copper,fourOrFive,150,322
52,copper,fourOrFive,185,369
53,copper,fourOrFive,240,439
54,copper,fourOrFive,300,504
55,copper,fourOrFive,400,589
56,aluminium,single,2.5,22
57,aluminium,single,4,30
58,aluminium,single,6,37
59,aluminium,single,10,50
60,aluminium,single,16,68
61,aluminium,single,25,92
62,aluminium,single,35,113
63,aluminium,single,50,139
64,aluminium,single,70,176
65,aluminium,single,95,217
66,aluminium,single,120,253
67,aluminium,single,150,290
68,aluminium,single,185,336
69,aluminium,single,240,401
70,aluminium,single,300,464
71,aluminium,single,400,544
72,aluminium,single,500,636
73,aluminium,single,625,744
74,aluminium,single,800,858
75,aluminium,single,1000,972
76,aluminium,twoOrThree,2.5,21
77,aluminium,twoOrThree,4,29
78,aluminium,twoOrThree,6,37
79,aluminium,twoOrThree,10,50
80,aluminium,twoOrThree,16,67
81,aluminium,twoOrThree,25,87
82,aluminium,twoOrThree,35,106
83,aluminium,twoOrThree,50,126
84,aluminium,twoOrThree,70,161
85,aluminium,twoOrThree,95,197
86,aluminium,twoOrThree,120,229
87,aluminium,twoOrThree,150,261
88,aluminium,twoOrThree,185,302
89,aluminium,twoOrThree,240,359
90,aluminium,twoOrThree,300,424
91,aluminium,twoOrThree,400,501
92,aluminium,fourOrFive,2.5,20
93,aluminium,fourOrFive,4,27
94,aluminium,fourOrFive,6,34
95,aluminium,fourOrFive,10,47
96,aluminium,fourOrFive,16,62
97,aluminium,fourOrFive,25,81
98,aluminium,fourOrFive,35,99
99,aluminium,fourOrFive,50,117
100,aluminium,fourOrFive,70,150
101,aluminium,fourOrFive,95,183
102,aluminium,fourOrFive,120,213
103,aluminium,fourOrFive,150,243
104,aluminium,fourOrFive,185,281
105,aluminium,fourOrFive,240,334
106,aluminium,fourOrFive,300,394
107,aluminium,fourOrFive,400,466
